R_accel_x,R_accel_y,R_accel_z,R_gyro_x,R_gyro_y,R_gyro_z,R_temperature,R_flex_raw_1,R_flex_raw_2,R_flex_raw_3,R_flex_raw_4,R_flex_raw_5,L_accel_x,L_accel_y,L_accel_z,L_gyro_x,L_gyro_y,L_gyro_z,L_temperature,L_flex_raw_1,L_flex_raw_2,L_flex_raw_3,L_flex_raw_4,L_flex_raw_5,Result
-6.42,0.85,-5.87,-1.51,-1.24,-1.8,28.61,719,794,1998,22,19,-4.4,8.58,0.68,-0.09,0,0.03,27.48,767,586,1961,664,740,rest posture
9.85,-1.26,-1.61,0.13,-0.24,0.13,28.53,618,779,1963,0,1,-4.48,8.66,0.82,-0.06,0,0.04,27.44,816,582,1960,661,741,rest posture
9.88,-2.88,-5.26,2.16,-2.09,0.74,28.55,628,760,1944,17,0,-4.41,8.53,0.89,-0.09,-0.02,0.05,27.42,805,568,1956,653,739,rest posture
9.77,-1.47,-3.11,0.36,0.26,-0.22,28.42,583,759,1951,0,0,-4.31,8.67,0.99,-0.07,-0.04,0.02,27.38,807,581,1959,668,741,rest posture
9.69,-1.94,-2.14,-0.05,-0.09,0.01,28.45,586,759,1961,0,1,-4.43,8.77,0.92,-0.07,-0.08,0,27.39,809,571,2057,664,739,rest posture
9.42,0.49,-4.98,0.13,0.61,-0.95,28.36,599,768,1959,0,0,-4.4,8.61,0.96,-0.03,-0.01,0.03,27.36,813,582,1956,657,742,rest posture
-7.96,-2.14,-5.4,0.04,-0.05,0.21,28.35,627,765,1991,0,0,-4.38,8.74,0.79,-0.07,0,0.05,27.6,805,579,1958,667,739,number 2
9.39,-1.28,-3.18,-0.06,-0.02,0.04,28.32,636,793,1975,10,31,-4.51,8.48,0.87,0.25,-0.07,-0.04,27.35,815,582,1959,663,743,number 2
2.61,-2.43,-10.24,-0.96,-3.45,-0.4,28.34,633,765,1961,0,0,-4.4,8.56,0.83,-0.06,0.02,0.07,27.34,809,567,1957,663,733,number 2
9.09,-2.46,-2.14,-0.41,-0.18,0.11,28.27,617,786,1971,31,29,-4.41,8.77,0.79,-0.09,-0.03,0.05,27.31,786,585,1959,661,740,number 2
-7.78,-1.47,-5.77,-0.07,-0.03,-0.07,28.28,621,788,1997,40,21,-4.44,8.59,0.99,-0.08,-0.02,0.02,27.27,822,585,1962,670,739,number 2
9.62,-1.72,-2.4,0.06,-0.02,0.02,28.22,601,789,1965,9,0,-4.57,8.77,0.77,-0.13,0,0.05,27.27,819,593,1958,665,712,number 2
